scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 13:24:05_100_0.3_95,1,3,dynamic_1,"(126.81946915919939, 37.314560139088506)",0412,50,SHUTTLE0003,13.165245568789873,285.1652455687899,50,75.0,True,SHUTTLE0003,320.0,-40.165245568789885,
2026-03-03 13:24:05_100_0.3_95,2,2,dynamic_2,"(126.83166753844249, 37.30788947059247)",0158,83,SHUTTLE0002,127.1572587288384,190.1572587288384,83,208.0,True,SHUTTLE0002,363.0,-35.1572587288384,
2026-03-03 13:24:05_100_0.3_95,3,3,dynamic_3,"(126.86362288701909, 37.30183686918188)",0050,399,SHUTTLE0003,135.14816154991664,217.1481615499166,399,494.0,True,SHUTTLE0003,659.0,-52.14816154991661,
2026-03-03 13:24:05_100_0.3_95,4,4,dynamic_4,"(126.83984203852616, 37.295154062793245)",0349,555,SHUTTLE0002,20.229931758768927,254.22993175876894,555,590.0,True,SHUTTLE0002,1161.0,316.77006824123106,1.0
2026-03-03 13:24:05_100_0.3_95,5,2,dynamic_5,"(126.83470201927264, 37.29550039558398)",0203,616,SHUTTLE0002,49.074956522263605,296.0749565222636,616,661.0,True,SHUTTLE0002,926.0,-31.07495652226362,
2026-03-03 13:24:05_100_0.3_95,6,2,dynamic_6,"(126.83419849871194, 37.29863433759399)",0097,713,SHUTTLE0003,0.11467202480822322,156.11467202480821,713,738.0,True,SHUTTLE0003,903.0,8.885327975191785,
2026-03-03 13:24:05_100_0.3_95,7,2,dynamic_7,"(126.81954155764518, 37.31452453500054)",0224,855,SHUTTLE0005,23.18523068182801,248.18523068182802,855,900.0,True,SHUTTLE0005,1514.0,365.814769318172,1.0
2026-03-03 13:24:05_100_0.3_95,8,3,dynamic_8,"(126.86039293967865, 37.30141666307735)",0203,873,SHUTTLE0004,141.16532053611712,198.16532053611712,873,988.0,True,SHUTTLE0004,1183.0,-3.1653205361171217,
2026-03-03 13:24:05_100_0.3_95,9,2,dynamic_9,"(126.84148763663306, 37.29601662854112)",0031,1119,SHUTTLE0005,210.33143790029234,97.33143790029234,1119,1304.0,True,SHUTTLE0005,1369.0,-32.33143790029234,
2026-03-03 13:24:05_100_0.3_95,10,2,dynamic_10,"(126.83699262172529, 37.300759767802326)",0271,1181,SHUTTLE0003,126.28881573668224,150.28881573668224,1181,1336.0,True,SHUTTLE0003,1461.0,-25.28881573668224,
2026-03-03 13:24:05_100_0.3_95,11,4,dynamic_11,"(126.8365592033705, 37.31667628251325)",0364,1196,SHUTTLE0004,0.053377807194816544,170.0533778071948,1196,1221.0,True,SHUTTLE0004,1426.0,34.946622192805194,
2026-03-03 13:24:05_100_0.3_95,12,2,dynamic_12,"(126.8323067841335, 37.3131601836261)",0334,1349,SHUTTLE0001,131.28892881125907,176.2889288112591,1349,1474.0,True,SHUTTLE0001,2211.0,560.7110711887409,1.0
2026-03-03 13:24:05_100_0.3_95,13,2,dynamic_13,"(126.84577468158344, 37.30384708097214)",0274,1381,SHUTTLE0004,70.04974807040675,170.04974807040674,1381,1501.0,True,SHUTTLE0004,1644.0,-27.049748070406736,
2026-03-03 13:24:05_100_0.3_95,14,1,dynamic_14,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0003,201.23789827436192,255.23789827436192,1500,1657.0,True,SHUTTLE0003,2177.0,264.7621017256381,2.0
2026-03-03 13:24:05_100_0.3_95,15,3,dynamic_15,"(126.81744784781604, 37.28606042116235)",0274,1511,SHUTTLE0002,323.22913076024827,197.2291307602483,1511,1696.0,True,SHUTTLE0002,1801.0,-92.2291307602483,
2026-03-03 13:24:05_100_0.3_95,16,1,dynamic_16,"(126.8351539884716, 37.29677579144293)",0203,1514,SHUTTLE0004,243.23789827436192,255.23789827436192,1514,1847.0,True,SHUTTLE0004,,,4.0
2026-03-03 13:24:05_100_0.3_95,17,1,dynamic_17,"(126.8351539884716, 37.29677579144293)",0203,1537,SHUTTLE0005,152.23789827436192,255.23789827436192,1537,1662.0,True,SHUTTLE0005,1898.0,-19.237898274361925,
2026-03-03 13:24:05_100_0.3_95,18,2,dynamic_18,"(126.85654496704028, 37.290902570423334)",0097,1593,SHUTTLE0006,157.11183534714783,201.11183534714786,1593,1688.0,True,SHUTTLE0006,1893.0,3.88816465285214,
2026-03-03 13:24:05_100_0.3_95,19,1,dynamic_19,"(126.8351539884716, 37.29677579144293)",0203,1594,SHUTTLE0003,59.713694823085774,255.23789827436192,1594,1787.0,True,SHUTTLE0003,2591.0,548.7621017256381,1.0
2026-03-03 13:24:05_100_0.3_95,20,3,dynamic_20,"(126.83473625915086, 37.29325614056592)",0349,1612,SHUTTLE0003,112.80810811145037,303.80810811145034,1612,1722.0,True,SHUTTLE0003,1942.0,-83.80810811145034,
2026-03-03 13:24:05_100_0.3_95,21,1,dynamic_21,"(126.8351539884716, 37.29677579144293)",0203,1621,SHUTTLE0004,73.23789827436192,255.71369482308577,1621,1707.0,True,SHUTTLE0004,,,3.0
