scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-03 14:42:50_100_0.3_91,1,3,dynamic_1,"(126.84274415210518, 37.29753760245557)",0064,61,SHUTTLE0004,66.29112844611385,171.29112844611385,61.0,1.0,586.0,True,SHUTTLE0004,741.0,-16.291128446113845
2026-03-03 14:42:50_100_0.3_91,2,3,dynamic_2,"(126.83679076381344, 37.292844139708265)",0363,68,SHUTTLE0002,163.28904900697245,326.28904900697245,68.0,1.0,203.0,True,SHUTTLE0002,770.0,240.71095099302755
2026-03-03 14:42:50_100_0.3_91,3,4,dynamic_3,"(126.83615813255068, 37.29683087070954)",0334,81,SHUTTLE0004,199.2809651044278,227.2809651044278,81.0,,226.0,True,SHUTTLE0004,431.0,-22.280965104427793
2026-03-03 14:42:50_100_0.3_91,4,3,dynamic_4,"(126.86476794292008, 37.286104344607274)",0203,110,SHUTTLE0006,68.4176629423226,347.41766294232264,110.0,2.0,155.0,True,SHUTTLE0006,801.0,298.58233705767736
2026-03-03 14:42:50_100_0.3_91,5,3,dynamic_5,"(126.84609456386073, 37.3152408493186)",0314,258,SHUTTLE0001,76.28852721495159,303.2885272149516,258.0,2.0,373.0,True,SHUTTLE0001,1109.0,432.7114727850484
2026-03-03 14:42:50_100_0.3_91,6,2,dynamic_6,"(126.86400432747222, 37.302150889165254)",0082,278,SHUTTLE0006,71.26203383222227,252.26203383222227,278.0,1.0,363.0,True,SHUTTLE0006,706.0,90.73796616777773
2026-03-03 14:42:50_100_0.3_91,7,3,dynamic_7,"(126.83124951128823, 37.31003053317165)",0203,365,SHUTTLE0002,157.1658696592867,84.1658696592867,365.0,,520.0,True,SHUTTLE0002,635.0,30.8341303407133
2026-03-03 14:42:50_100_0.3_91,8,2,dynamic_8,"(126.83364978062856, 37.29958683955347)",0265,427,SHUTTLE0001,129.38614756282513,154.38614756282516,427.0,,542.0,True,SHUTTLE0001,647.0,-49.38614756282516
2026-03-03 14:42:50_100_0.3_91,9,2,dynamic_9,"(126.84321418549985, 37.30480604273659)",0082,521,SHUTTLE0006,34.10161746923193,115.10161746923194,521.0,,586.0,True,SHUTTLE0006,701.0,-0.1016174692319396
2026-03-03 14:42:50_100_0.3_91,10,3,dynamic_10,"(126.83603412393204, 37.293511003942925)",0116,704,SHUTTLE0001,139.10429013762433,223.10429013762433,704.0,,799.0,True,SHUTTLE0001,974.0,-48.10429013762433
2026-03-03 14:42:50_100_0.3_91,11,4,dynamic_11,"(126.83013000701857, 37.30406810092887)",0349,921,SHUTTLE0006,118.2673049113276,255.26730491132759,921.0,,1076.0,True,SHUTTLE0006,1256.0,-75.26730491132759
