scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-03 14:37:40_100_0.3_69,1,2,dynamic_1,"(126.84512545067257, 37.30544490664282)",0187,151,SHUTTLE0002,77.09273255437114,103.09273255437114,151.0,1.0,659.0,True,SHUTTLE0002,784.0,21.90726744562886
2026-03-03 14:37:40_100_0.3_69,2,2,dynamic_2,"(126.83409271148886, 37.2951888835087)",0082,184,SHUTTLE0002,160.17310514087202,229.17310514087202,184.0,,339.0,True,SHUTTLE0002,514.0,-54.173105140872025
2026-03-03 14:37:40_100_0.3_69,3,4,dynamic_3,"(126.83567143898057, 37.294198588151424)",0031,362,SHUTTLE0004,247.1121092592351,19.11210925923511,362.0,,537.0,True,SHUTTLE0004,572.0,15.887890740764892
2026-03-03 14:37:40_100_0.3_69,4,3,dynamic_4,"(126.8379969652318, 37.29826591332746)",0082,502,SHUTTLE0004,109.27937636462306,179.05515784615284,502.0,,637.0,True,SHUTTLE0004,782.0,-34.05515784615284
2026-03-03 14:37:40_100_0.3_69,5,3,dynamic_5,"(126.84684721919955, 37.30833740914908)",0274,617,SHUTTLE0001,135.13044607991213,218.13044607991213,617.0,,772.0,True,SHUTTLE0001,947.0,-43.13044607991213
2026-03-03 14:37:40_100_0.3_69,6,4,dynamic_6,"(126.84014793092658, 37.2955245675019)",0329,636,SHUTTLE0003,318.2044209603617,302.20442096036174,636.0,,901.0,True,SHUTTLE0003,1156.0,-47.204420960361745
2026-03-03 14:37:40_100_0.3_69,7,3,dynamic_7,"(126.86421324312506, 37.30246464538729)",0053,710,SHUTTLE0006,159.30464240496352,184.30464240496352,710.0,1.0,815.0,True,SHUTTLE0006,1459.0,459.6953575950365
2026-03-03 14:37:40_100_0.3_69,8,3,dynamic_8,"(126.83338295054148, 37.30873062474344)",0362,737,SHUTTLE0005,139.32745471754012,194.32745471754015,737.0,,932.0,True,SHUTTLE0005,1067.0,-59.32745471754015
2026-03-03 14:37:40_100_0.3_69,9,3,dynamic_9,"(126.8570049931825, 37.29148375729188)",0114,964,SHUTTLE0006,210.35700042045127,300.3570004204513,964.0,,1149.0,True,SHUTTLE0006,1384.0,-65.3570004204513
2026-03-03 14:37:40_100_0.3_69,10,4,dynamic_10,"(126.8510161365836, 37.29584496201324)",0162,1054,SHUTTLE0002,235.3320013385988,302.3320013385988,1054.0,,1249.0,True,SHUTTLE0002,1444.0,-107.33200133859879
