scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:04:15_100_0.3_73,1,2,dynamic_1,"(126.83483641700384, 37.29844248144989)",0456,92,SHUTTLE0002,76.16363778229416,71.16363778229416,92,1.0,261.0,True,SHUTTLE0002,316.0,-16.16363778229416
2026-03-02 22:04:15_100_0.3_73,2,3,dynamic_2,"(126.83613977254082, 37.297997186985)",0019,106,SHUTTLE0002,87.2917268888396,30.291726888839605,106,,181.0,True,SHUTTLE0002,216.0,4.708273111160395
2026-03-02 22:04:15_100_0.3_73,3,2,dynamic_3,"(126.85139175483499, 37.30640467391556)",0203,127,SHUTTLE0004,107.13527817545277,142.13527817545275,127,,252.0,True,SHUTTLE0004,447.0,52.864721824547246
2026-03-02 22:04:15_100_0.3_73,4,3,dynamic_4,"(126.8358105247218, 37.29271207546012)",0066,205,SHUTTLE0003,316.1744742061998,276.1744742061998,205,,460.0,True,SHUTTLE0003,705.0,-31.174474206199818
2026-03-02 22:04:15_100_0.3_73,5,4,dynamic_5,"(126.82741805346254, 37.304072551499104)",0482,241,SHUTTLE0005,153.14507754858087,248.14507754858087,241,,426.0,True,SHUTTLE0005,601.0,-73.14507754858087
2026-03-02 22:04:15_100_0.3_73,6,2,dynamic_6,"(126.83269699959511, 37.29841822548219)",0274,249,SHUTTLE0001,278.11149316915765,31.111493169157654,249,,484.0,True,SHUTTLE0001,519.0,3.8885068308423456
2026-03-02 22:04:15_100_0.3_73,7,4,dynamic_7,"(126.85493758653598, 37.287457695484136)",0163,284,SHUTTLE0006,167.3118704285862,148.3118704285862,284,,369.0,True,SHUTTLE0006,464.0,-53.31187042858619
2026-03-02 22:04:15_100_0.3_73,8,3,dynamic_8,"(126.83368772883794, 37.29845646848338)",0312,336,SHUTTLE0002,71.29397625444972,183.29397625444972,336,,391.0,True,SHUTTLE0002,536.0,-38.29397625444972
2026-03-02 22:04:15_100_0.3_73,9,2,dynamic_9,"(126.83744158520057, 37.29808091363175)",0031,666,SHUTTLE0001,103.1861780028617,71.1861780028617,666,,731.0,True,SHUTTLE0001,796.0,-6.186178002861695
2026-03-02 22:04:15_100_0.3_73,10,2,dynamic_10,"(126.83361169600259, 37.29775369904955)",0203,829,SHUTTLE0001,43.29416071739242,255.29416071739243,829,1.0,874.0,True,SHUTTLE0001,1442.0,312.7058392826076
2026-03-02 22:04:15_100_0.3_73,11,4,dynamic_11,"(126.83953941871673, 37.30197421792152)",0016,977,SHUTTLE0001,13.080267633915318,264.0802676339153,977,,1032.0,True,SHUTTLE0001,1287.0,-9.080267633915298
2026-03-02 22:04:15_100_0.3_73,12,4,dynamic_12,"(126.83490549966824, 37.31739662902915)",0284,990,SHUTTLE0004,36.10706390923892,312.10706390923895,990,,1055.0,True,SHUTTLE0004,1344.0,-23.107063909238946
2026-03-02 22:04:15_100_0.3_73,13,2,dynamic_13,"(126.8327649494066, 37.29607109990993)",0158,1209,SHUTTLE0004,147.37562317635408,71.37562317635408,1209,,1369.0,True,SHUTTLE0004,1424.0,-16.375623176354082
