scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 13:34:30_100_0.3_25,1,4,dynamic_1,"(126.85245633567047, 37.29513180899044)",0395,10,SHUTTLE0004,55.326938300877444,242.32693830087743,10,45.0,True,SHUTTLE0004,200.0,-87.32693830087743,
2026-03-03 13:34:30_100_0.3_25,2,4,dynamic_2,"(126.83006497081193, 37.297481542950685)",0255,70,SHUTTLE0002,128.2090802405083,218.20908024050829,70,165.0,True,SHUTTLE0002,310.0,-73.20908024050829,
2026-03-03 13:34:30_100_0.3_25,3,3,dynamic_3,"(126.82936263016877, 37.310467494118626)",0173,90,SHUTTLE0003,93.22284646001803,234.22284646001805,90,594.0,True,SHUTTLE0003,1248.0,419.77715353998195,2.0
2026-03-03 13:34:30_100_0.3_25,4,2,dynamic_4,"(126.83346012900577, 37.30908744741473)",0310,179,SHUTTLE0003,44.33375507640548,139.33375507640548,179,284.0,True,SHUTTLE0003,429.0,5.666244923594519,
2026-03-03 13:34:30_100_0.3_25,5,2,dynamic_5,"(126.82999121940298, 37.29789509041275)",0398,193,SHUTTLE0005,213.2370271472282,120.23702714722819,193,408.0,True,SHUTTLE0005,553.0,24.76297285277181,
2026-03-03 13:34:30_100_0.3_25,6,2,dynamic_6,"(126.82944737407098, 37.3102792178765)",0203,360,SHUTTLE0001,151.16051793799224,80.16051793799224,360,515.0,True,SHUTTLE0001,620.0,24.83948206200776,
2026-03-03 13:34:30_100_0.3_25,7,4,dynamic_7,"(126.84084424763361, 37.30931837432423)",0031,468,SHUTTLE0005,107.16845624718961,215.16845624718962,468,618.0,True,SHUTTLE0005,823.0,-10.168456247189624,
2026-03-03 13:34:30_100_0.3_25,8,3,dynamic_8,"(126.83761950133227, 37.299129627235814)",0203,517,SHUTTLE0004,72.26056251240503,225.26056251240504,517,572.0,True,SHUTTLE0004,797.0,-0.2605625124050448,
2026-03-03 13:34:30_100_0.3_25,9,2,dynamic_9,"(126.85255924913953, 37.30322526505324)",0007,677,SHUTTLE0002,89.15331452604774,224.15331452604772,677,772.0,True,SHUTTLE0002,947.0,-49.15331452604772,
2026-03-03 13:34:30_100_0.3_25,10,2,dynamic_10,"(126.81648296023997, 37.286600941654946)",0175,753,SHUTTLE0003,255.3154279686975,251.31542796869752,753,898.0,True,SHUTTLE0003,1063.0,-86.31542796869752,
2026-03-03 13:34:30_100_0.3_25,11,4,dynamic_11,"(126.83608085322412, 37.298290604039416)",0158,1093,SHUTTLE0005,42.35442692758837,51.35442692758838,1093,1138.0,True,SHUTTLE0005,1183.0,-6.354426927588378,
2026-03-03 13:34:30_100_0.3_25,12,4,dynamic_12,"(126.83129839456848, 37.297634783024066)",0367,1149,SHUTTLE0002,112.41321205301419,306.4132120530142,1149,1224.0,True,SHUTTLE0002,1974.0,443.5867879469858,1.0
