scenario_info,currenttime,shuttle_id,shuttle_state,cur_dst,cur_node,cur_path,cur_psgr,cur_psgr_num
2026-03-03 12:35:05_100_0.3_27,407.0,SHUTTLE0003,MOVE,[],0201,"['0201', '0262', '0231', '0145', '0296', '0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,417.0,SHUTTLE0003,MOVE,[],0262,"['0262', '0231', '0145', '0296', '0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,427.0,SHUTTLE0003,MOVE,[],0231,"['0231', '0145', '0296', '0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,437.0,SHUTTLE0003,MOVE,[],0145,"['0145', '0296', '0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,441.0,SHUTTLE0006,MOVE,"[('0014', 'DROPPING', 2, False, -3)]",0355,"['0355', '0067', 'dynamic_2', '0067', '0152', '0057', '0277', '0192', '0106', '0423', '0482', '0197', '0258', '0452', '0090', '0150', '0320', '0474', '0061', '0086', '0179', '0410', '0302', '0278', '0299', '0014']",[],0
2026-03-03 12:35:05_100_0.3_27,447.0,SHUTTLE0003,MOVE,[],0296,"['0296', '0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,451.0,SHUTTLE0006,MOVE,"[('0014', 'DROPPING', 2, False, -3)]",0067,"['0067', 'dynamic_2', '0067', '0152', '0057', '0277', '0192', '0106', '0423', '0482', '0197', '0258', '0452', '0090', '0150', '0320', '0474', '0061', '0086', '0179', '0410', '0302', '0278', '0299', '0014']",[],0
2026-03-03 12:35:05_100_0.3_27,457.0,SHUTTLE0003,MOVE,[],0078,"['0078', '0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
2026-03-03 12:35:05_100_0.3_27,461.0,SHUTTLE0006,MOVE,"[('0014', 'DROPPING', 2, False, -3)]",dynamic_2,"['dynamic_2', '0067', '0152', '0057', '0277', '0192', '0106', '0423', '0482', '0197', '0258', '0452', '0090', '0150', '0320', '0474', '0061', '0086', '0179', '0410', '0302', '0278', '0299', '0014']",[],0
2026-03-03 12:35:05_100_0.3_27,467.0,SHUTTLE0003,MOVE,[],0077,"['0077', '0415', '0391', '0447', '0146', '0004', '0288', 'dynamic_1', '0288', '0446', '0398', '0059']",[],0
