scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-02 22:51:45_100_0.3_95,1,3,dynamic_1,"(126.81946915919939, 37.314560139088506)",0412,50,SHUTTLE0003,13.165245568789873,285.1652455687899,50.0,75.0,True,SHUTTLE0003,320.0,-40.165245568789885,
2026-03-02 22:51:45_100_0.3_95,2,2,dynamic_2,"(126.83166753844249, 37.30788947059247)",0158,83,SHUTTLE0002,127.1572587288384,190.1572587288384,83.0,208.0,True,SHUTTLE0002,363.0,-35.1572587288384,
2026-03-02 22:51:45_100_0.3_95,3,3,dynamic_3,"(126.86362288701909, 37.30183686918188)",0050,399,SHUTTLE0003,135.14816154991664,217.1481615499166,399.0,494.0,True,SHUTTLE0003,659.0,-52.14816154991661,
2026-03-02 22:51:45_100_0.3_95,4,4,dynamic_4,"(126.83984203852616, 37.295154062793245)",0349,555,SHUTTLE0002,20.229931758768927,254.22993175876894,555.0,590.0,True,SHUTTLE0002,1161.0,316.77006824123106,1.0
2026-03-02 22:51:45_100_0.3_95,5,2,dynamic_5,"(126.83470201927264, 37.29550039558398)",0203,616,SHUTTLE0002,49.074956522263605,296.0749565222636,616.0,661.0,True,SHUTTLE0002,926.0,-31.07495652226362,
2026-03-02 22:51:45_100_0.3_95,6,2,dynamic_6,"(126.83419849871194, 37.29863433759399)",0097,713,SHUTTLE0003,0.11467202480822322,156.11467202480821,713.0,738.0,True,SHUTTLE0003,903.0,8.885327975191785,
2026-03-02 22:51:45_100_0.3_95,7,2,dynamic_7,"(126.81954155764518, 37.31452453500054)",0224,855,SHUTTLE0005,23.18523068182801,248.18523068182802,855.0,900.0,True,SHUTTLE0005,1514.0,365.814769318172,1.0
2026-03-02 22:51:45_100_0.3_95,8,3,dynamic_8,"(126.86039293967865, 37.30141666307735)",0203,873,SHUTTLE0004,141.16532053611712,198.16532053611712,873.0,988.0,True,SHUTTLE0004,1183.0,-3.1653205361171217,
2026-03-02 22:51:45_100_0.3_95,9,2,dynamic_9,"(126.84148763663306, 37.29601662854112)",0031,1119,SHUTTLE0005,210.33143790029234,97.33143790029234,1119.0,1304.0,True,SHUTTLE0005,1369.0,-32.33143790029234,
2026-03-02 22:51:45_100_0.3_95,10,2,dynamic_10,"(126.83699262172529, 37.300759767802326)",0271,1181,SHUTTLE0003,126.28881573668224,150.28881573668224,1181.0,1336.0,True,SHUTTLE0003,1461.0,-25.28881573668224,
2026-03-02 22:51:45_100_0.3_95,11,4,dynamic_11,"(126.8365592033705, 37.31667628251325)",0364,1196,SHUTTLE0004,0.053377807194816544,170.0533778071948,1196.0,1221.0,True,SHUTTLE0004,1426.0,34.946622192805194,
2026-03-02 22:51:45_100_0.3_95,12,2,dynamic_12,"(126.8323067841335, 37.3131601836261)",0334,1349,SHUTTLE0001,131.28892881125907,176.2889288112591,1349.0,1474.0,True,SHUTTLE0001,2001.0,350.7110711887409,1.0
2026-03-02 22:51:45_100_0.3_95,13,2,dynamic_13,"(126.84577468158344, 37.30384708097214)",0274,1381,SHUTTLE0004,70.04974807040675,170.04974807040674,1381.0,1501.0,True,SHUTTLE0004,1629.0,-42.049748070406736,
2026-03-02 22:51:45_100_0.3_95,14,1,dynamic_14,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0003,171.30780976371832,177.30780976371832,1500.0,1816.0,True,SHUTTLE0003,2589.0,595.6921902362817,3.0
2026-03-02 22:51:45_100_0.3_95,15,3,dynamic_15,"(126.81744784781604, 37.28606042116235)",0274,1511,SHUTTLE0003,187.2291307602483,197.2291307602483,1511.0,1646.0,True,SHUTTLE0003,1751.0,-92.2291307602483,
2026-03-02 22:51:45_100_0.3_95,16,1,dynamic_16,"(126.83739657110384, 37.29762586758092)",0221,1514,SHUTTLE0002,212.30780976371832,177.30780976371832,1514.0,1674.0,True,SHUTTLE0002,,,2.0
2026-03-02 22:51:45_100_0.3_95,17,1,dynamic_17,"(126.83739657110384, 37.29762586758092)",0221,1537,SHUTTLE0005,122.30780976371832,177.30780976371832,1537.0,1657.0,True,SHUTTLE0005,1967.0,132.69219023628168,1.0
2026-03-02 22:51:45_100_0.3_95,18,2,dynamic_18,"(126.85654496704028, 37.290902570423334)",0097,1593,SHUTTLE0006,157.11183534714783,201.11183534714786,1593.0,1688.0,True,SHUTTLE0006,2268.0,378.88816465285214,1.0
2026-03-02 22:51:45_100_0.3_95,19,1,dynamic_19,"(126.83739657110384, 37.29762586758092)",0221,1594,SHUTTLE0004,155.30780976371832,177.30780976371832,1594.0,1697.0,True,SHUTTLE0004,,,3.0
2026-03-02 22:51:45_100_0.3_95,20,3,dynamic_20,"(126.83473625915086, 37.29325614056592)",0349,1612,SHUTTLE0005,119.94793109016317,431.33231156272655,1612.0,1742.0,True,SHUTTLE0005,2082.0,-91.33231156272655,
2026-03-02 22:51:45_100_0.3_95,21,1,dynamic_21,"(126.83739657110384, 37.29762586758092)",0221,1621,SHUTTLE0002,29.923429291154964,177.30780976371832,1621.0,1744.0,True,SHUTTLE0002,,,1.0
2026-03-02 22:51:45_100_0.3_95,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1626,SHUTTLE0001,177.30780976371832,177.30780976371832,1626.0,1801.0,True,SHUTTLE0001,1976.0,-2.307809763718325,
2026-03-02 22:51:45_100_0.3_95,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1629,SHUTTLE0002,29.923429291154964,177.92342929115497,1629.0,1709.0,True,SHUTTLE0002,1919.0,32.076570708845026,
2026-03-02 22:51:45_100_0.3_95,24,1,dynamic_24,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0004,0.9234292911549635,177.30780976371832,1672.0,1767.0,True,SHUTTLE0004,,,2.0
2026-03-02 22:51:45_100_0.3_95,25,1,dynamic_25,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0004,0.9234292911549635,177.92342929115497,1672.0,1732.0,True,SHUTTLE0004,,,1.0
2026-03-02 22:51:45_100_0.3_95,26,3,dynamic_26,"(126.8259856158166, 37.31605834977726)",0070,1803,SHUTTLE0006,211.20905365298972,65.20905365298971,1803.0,2008.0,True,SHUTTLE0006,2073.0,-0.20905365298970935,
