scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-02 22:38:12_100_0.3_30,1,4,dynamic_1,"(126.84017695763961, 37.29576728206617)",0114,67,SHUTTLE0002,109.19262819140265,0.1926281914026425,67,172.0,True,SHUTTLE0002,197.0,24.807371808597356,
2026-03-02 22:38:12_100_0.3_30,2,4,dynamic_2,"(126.81995614366332, 37.30274673817492)",0334,190,SHUTTLE0003,98.26558490036254,262.26558490036257,190,265.0,True,SHUTTLE0003,480.0,-47.26558490036257,
2026-03-02 22:38:12_100_0.3_30,3,3,dynamic_3,"(126.85891609026663, 37.30115470695159)",0116,209,SHUTTLE0004,134.22927605271383,223.22927605271383,209,334.0,True,SHUTTLE0004,549.0,-8.229276052713828,
2026-03-02 22:38:12_100_0.3_30,4,2,dynamic_4,"(126.8484831756258, 37.30760844366694)",0031,328,SHUTTLE0001,160.1604952943415,225.1604952943415,328,513.0,True,SHUTTLE0001,809.0,70.8395047056585,1.0
2026-03-02 22:38:12_100_0.3_30,5,2,dynamic_5,"(126.85608737769047, 37.304989408540614)",0019,511,SHUTTLE0003,27.13992863550584,203.13992863550584,511,556.0,True,SHUTTLE0003,953.0,193.86007136449416,1.0
2026-03-02 22:38:12_100_0.3_30,6,2,dynamic_6,"(126.83627919302711, 37.29346083929809)",0196,588,SHUTTLE0002,55.12736033126511,82.12736033126511,588,652.0,True,SHUTTLE0002,772.0,37.87263966873489,1.0
2026-03-02 22:38:12_100_0.3_30,7,2,dynamic_7,"(126.8335623326465, 37.29625332131515)",0019,597,SHUTTLE0002,109.41052472313916,79.15580406060894,597,717.0,True,SHUTTLE0002,797.0,0.8441959393910565,
2026-03-02 22:38:12_100_0.3_30,8,2,dynamic_8,"(126.8413402156519, 37.30732088699025)",0031,608,SHUTTLE0003,59.10877837911904,199.10877837911903,608,703.0,True,SHUTTLE0003,898.0,-4.10877837911903,
2026-03-02 22:38:12_100_0.3_30,9,3,dynamic_9,"(126.842233185258, 37.297553136848755)",0114,664,SHUTTLE0001,71.25494082666464,29.254940826664633,664,729.0,True,SHUTTLE0001,764.0,5.745059173335367,
2026-03-02 22:38:12_100_0.3_30,10,4,dynamic_10,"(126.8259419262654, 37.31572888480398)",0031,667,SHUTTLE0005,55.11101379863364,295.1110137986336,667,742.0,True,SHUTTLE0005,977.0,-60.11101379863362,
2026-03-02 22:38:12_100_0.3_30,11,4,dynamic_11,"(126.84203428146326, 37.29648563833487)",0203,821,SHUTTLE0002,71.10705252219442,296.1070525221944,821,886.0,True,SHUTTLE0002,1151.0,-31.107052522194408,
2026-03-02 22:38:12_100_0.3_30,12,2,dynamic_12,"(126.84228694211423, 37.302507681464824)",0298,845,SHUTTLE0001,144.23821214219953,137.23821214219953,845,960.0,True,SHUTTLE0001,1095.0,-2.2382121421995294,
2026-03-02 22:38:12_100_0.3_30,13,2,dynamic_13,"(126.8184671604087, 37.31460705969363)",0082,853,SHUTTLE0004,111.18889855945386,129.18889855945386,853,988.0,True,SHUTTLE0004,1133.0,15.811101440546139,
2026-03-02 22:38:12_100_0.3_30,14,4,dynamic_14,"(126.84138859601947, 37.2968021326589)",0349,975,SHUTTLE0003,71.23713572572653,283.23713572572655,975,1040.0,True,SHUTTLE0003,1225.0,-98.23713572572655,
2026-03-02 22:38:12_100_0.3_30,15,2,dynamic_15,"(126.83985964180005, 37.29633374896863)",0059,1088,SHUTTLE0005,68.19785006271509,219.19785006271508,1088,1143.0,True,SHUTTLE0005,1517.0,154.80214993728492,1.0
2026-03-02 22:38:12_100_0.3_30,16,4,dynamic_16,"(126.83392171949077, 37.29615203694502)",0314,1202,SHUTTLE0005,72.19704005295408,215.1970400529541,1202,1257.0,True,SHUTTLE0005,1372.0,-100.1970400529541,
